"sample.id","tissue"
"GTEX-17HGU-1426-SM-7938G","Esophagus - Mucosa"
"GTEX-1B97J-0926-SM-79ONU","Esophagus - Muscularis"
"GTEX-13113-5010-SM-7RHFP","Esophagus - Muscularis"
"GTEX-QLQW-0626-SM-447A6","Esophagus - Muscularis"
"GTEX-ZEX8-1326-SM-4WWEW","Esophagus - Muscularis"
"GTEX-13X6K-2226-SM-79OMI","Esophagus - Muscularis"
"GTEX-S32W-1326-SM-4AD5Q","Fallopian Tube"
"GTEX-TSE9-2326-SM-EZ6ME","Fallopian Tube"
"GTEX-OHPK-2326-SM-3MJH2","Fallopian Tube"
"GTEX-SE5C-0926-SM-4BRUF","Fallopian Tube"
"GTEX-S341-0826-SM-4AD73","Fallopian Tube"
"GTEX-1GMR8-1026-SM-9MQLA","Heart - Atrial Appendage"
"GTEX-145LS-1326-SM-5Q5EP","Heart - Atrial Appendage"
"GTEX-1H3VY-1126-SM-A96TP","Heart - Atrial Appendage"
"GTEX-14H4A-0426-SM-5ZZWO","Heart - Atrial Appendage"
"GTEX-X62O-0826-SM-46MW8","Heart - Atrial Appendage"
"GTEX-OHPM-0326-SM-33HCA","Heart - Left Ventricle"
"GTEX-U4B1-0326-SM-3DB8K","Heart - Left Ventricle"
"GTEX-15RJE-0626-SM-7KUKR","Heart - Left Ventricle"
"GTEX-1HCUA-0526-SM-A9SMH","Heart - Left Ventricle"
"GTEX-17F9Y-1326-SM-7MGW9","Heart - Left Ventricle"
"GTEX-1JMQJ-1726-SM-E9U4V","Kidney - Cortex"
"GTEX-1GN1U-2126-SM-AHZ4J","Kidney - Cortex"
"GTEX-16MT8-1926-SM-7EPGL","Kidney - Cortex"
"GTEX-1NV8Z-2226-SM-EXOJ2","Kidney - Cortex"
"GTEX-1JJ6O-2526-SM-AHZ3J","Kidney - Cortex"
"GTEX-R55E-2026-SM-EZ6L1","Kidney - Medulla"
"GTEX-T5JC-1626-SM-EZ6KW","Kidney - Medulla"
"GTEX-RU72-1926-SM-EAZ3F","Kidney - Medulla"
"GTEX-TKQ2-0626-SM-EZ6LB","Kidney - Medulla"
"GTEX-ZYY3-0626-SM-5NQ6W","Liver"
"GTEX-14PHX-0526-SM-664NW","Liver"
"GTEX-1GN1U-0926-SM-9WPPY","Liver"
"GTEX-1QP6S-1326-SM-DPRZ8","Liver"
"GTEX-131XE-0326-SM-5LZVO","Liver"
"GTEX-13OVJ-0726-SM-5KM1W","Lung"
"GTEX-1CB4F-0926-SM-7DHMJ","Lung"
"GTEX-ZF29-1026-SM-4WKGC","Lung"
"GTEX-1F5PK-0526-SM-7MXUA","Lung"
"GTEX-17F9Y-1026-SM-7IGO4","Lung"
"GTEX-146FR-1226-SM-5SIA7","Minor Salivary Gland"
"GTEX-X3Y1-1926-SM-4PQZO","Minor Salivary Gland"
"GTEX-ZF29-2126-SM-DNZYX","Minor Salivary Gland"
"GTEX-131XF-2826-SM-5EGKH","Minor Salivary Gland"
"GTEX-1LC47-2426-SM-DHXKK","Minor Salivary Gland"
"GTEX-WFON-2326-SM-3LK7M","Muscle - Skeletal"
"GTEX-11EI6-0326-SM-5EQ6G","Muscle - Skeletal"
"GTEX-11ZTT-2626-SM-5EQKK","Muscle - Skeletal"
"GTEX-13FXS-0326-SM-5K7TV","Muscle - Skeletal"
"GTEX-1LSNL-0126-SM-EWRNR","Muscle - Skeletal"
"GTEX-PLZ4-1126-SM-EZ6KT","Nerve - Tibial"
"GTEX-1I6K7-0426-SM-CGQFN","Nerve - Tibial"
"GTEX-13PL7-1926-SM-5J1MM","Nerve - Tibial"
"GTEX-13OW8-1526-SM-5K7V2","Nerve - Tibial"
"GTEX-11TTK-0426-SM-5EQLT","Nerve - Tibial"
"GTEX-PLZ4-2826-SM-3P617","Ovary"
"GTEX-P78B-1926-SM-3P616","Ovary"
"GTEX-OHPL-2426-SM-48TDN","Ovary"
"GTEX-P4QT-2426-SM-3NMCL","Ovary"
"GTEX-XMD3-2326-SM-4AT5H","Ovary"
"GTEX-TML8-0526-SM-32QOQ","Pancreas"
"GTEX-T8EM-0826-SM-4DM76","Pancreas"
"GTEX-13FTW-0526-SM-5IFIP","Pancreas"
"GTEX-1AX9K-2026-SM-731D1","Pancreas"
"GTEX-O5YT-1026-SM-3MJGF","Pancreas"
"GTEX-13FHO-3126-SM-5IJF6","Pituitary"
"GTEX-1I19N-3126-SM-CNNQQ","Pituitary"
"GTEX-14LLW-3026-SM-6EU1O","Pituitary"
"GTEX-145MO-3126-SM-5S2RT","Pituitary"
"GTEX-17HG3-3026-SM-79ONC","Pituitary"
"GTEX-1GPI7-1626-SM-7P8TN","Prostate"
"GTEX-XMK1-1026-SM-4B65H","Prostate"
"GTEX-18QFQ-2026-SM-72D7J","Prostate"
"GTEX-14DAR-1026-SM-73KV3","Prostate"
"GTEX-132NY-2826-SM-5P9G2","Prostate"
"GTEX-1JKYN-0826-SM-ARU8S","Skin - Not Sun Exposed (Suprapubic)"
"GTEX-16BQI-1326-SM-6M486","Skin - Not Sun Exposed (Suprapubic)"
"GTEX-1S831-1826-SM-EWROF","Skin - Not Sun Exposed (Suprapubic)"
"GTEX-1M4P7-0726-SM-E6CJ3","Skin - Not Sun Exposed (Suprapubic)"
"GTEX-1GF9V-0826-SM-9KNUV","Skin - Not Sun Exposed (Suprapubic)"
"GTEX-1OJC3-0126-SM-E76QX","Skin - Sun Exposed (Lower leg)"
"GTEX-14DAQ-0126-SM-5S2MQ","Skin - Sun Exposed (Lower leg)"
"GTEX-1S3DN-2226-SM-EVYCD","Skin - Sun Exposed (Lower leg)"
"GTEX-U3ZH-2026-SM-3DB78","Skin - Sun Exposed (Lower leg)"
"GTEX-117YX-2326-SM-5H12W","Skin - Sun Exposed (Lower leg)"
"GTEX-1GL5R-2026-SM-7MKHP","Small Intestine - Terminal Ileum"
"GTEX-1GMR3-2726-SM-7MKFB","Small Intestine - Terminal Ileum"
"GTEX-XPVG-1726-SM-4B65W","Small Intestine - Terminal Ileum"
"GTEX-1B8KZ-1126-SM-7IGLX","Small Intestine - Terminal Ileum"
"GTEX-13D11-0726-SM-5LZZB","Small Intestine - Terminal Ileum"
"GTEX-1MCYP-0226-SM-EV7A3","Spleen"
"GTEX-1JMQK-1126-SM-CXZJW","Spleen"
"GTEX-1AX9K-0226-SM-793CM","Spleen"
"GTEX-ZYFG-0726-SM-5GIDX","Spleen"
"GTEX-1GZ4H-0126-SM-9JGGI","Spleen"
"GTEX-1NSGN-1926-SM-E9J36","Stomach"
"GTEX-1LG7Z-1226-SM-DHXK4","Stomach"
"GTEX-13O61-1126-SM-5L3FI","Stomach"
"GTEX-11VI4-0326-SM-5EQ6L","Stomach"
"GTEX-T5JW-0926-SM-4DM5K","Stomach"
"GTEX-1JMQJ-0726-SM-CXZJJ","Testis"
"GTEX-TKQ1-0926-SM-4DXU2","Testis"
"GTEX-139TT-2226-SM-5LZWO","Testis"
"GTEX-1CB4G-2426-SM-7DUGM","Testis"
"GTEX-1PIGE-1626-SM-DPRZE","Testis"
"GTEX-P78B-0526-SM-2I5F7","Thyroid"
"GTEX-1HBPI-0826-SM-9WYTX","Thyroid"
"GTEX-14JG6-1326-SM-9OSXU","Thyroid"
"GTEX-144GO-0126-SM-5LUAO","Thyroid"
"GTEX-1P4AB-1126-SM-DTX94","Thyroid"
"GTEX-XUZC-0926-SM-4BOQF","Uterus"
"GTEX-11I78-2126-SM-5A5K8","Uterus"
"GTEX-1CAV2-1426-SM-7MGX6","Uterus"
"GTEX-ZV6S-1526-SM-5NQ7O","Uterus"
"GTEX-14JG6-0826-SM-6AJB9","Uterus"
"GTEX-S341-1226-SM-4AD5S","Vagina"
"GTEX-W5WG-1026-SM-4LMIF","Vagina"
"GTEX-1I1GT-1226-SM-B2LVK","Vagina"
"GTEX-ZZPU-2226-SM-5EGIV","Vagina"
"GTEX-13W3W-2326-SM-5LU4Y","Vagina"
"GTEX-Y114-0006-SM-4TT76","Whole Blood"
"GTEX-14PJM-0006-SM-9JGHA","Whole Blood"
"GTEX-POYW-0006-SM-2XCF4","Whole Blood"
"GTEX-ZPIC-0005-SM-4WWEB","Whole Blood"
"GTEX-1S3DN-0006-SM-DO127","Whole Blood"
